iter	Passed	Remaining
968	4003	128
969	4006	123
970	4010	119
971	4014	115
972	4018	111
973	4021	107
974	4025	103
975	4028	99
976	4032	94
977	4036	90
978	4039	86
979	4042	82
980	4046	78
981	4049	74
982	4052	70
983	4055	65
984	4059	61
985	4063	57
986	4066	53
987	4069	49
988	4076	45
989	4079	41
990	4082	37
991	4087	32
992	4090	28
993	4093	24
994	4097	20
995	4100	16
996	4104	12
997	4108	8
998	4112	4
999	4115	0
